"trait","qtl_id","effect"
"SL","chr4_57",0.0124813085076026
"SL","chr1_38",0.56069209501796
"SL","chr5_12",0.114700289719632
"SL","chr5_43",-1.99294465422408
"SL","chr5_41",-2.32461867122131
"SL","chr4_26",0.899096503362142
"SL","chr3_39",0.221777652780311
"SL","chr2_30",-1.73027316250191
"SL","chr3_51",-0.541055533809702
"SL","chr1_8",-0.330880694683406
"BRC1_2","chr3_22",-0.0599658458355142
"BRC1_2","chr1_13",-0.468951634362076
"BRC1_2","chr4_17",1.64732754131661
"BRC1_2","chr1_30",-1.59730866455372
"BRC1_2","chr3_55",0.703649999752748
"BRC1_2","chr1_25",0.00902360569908163
"BRC1_2","chr3_46",0.848289820677528
"BRC1_2","chr4_49",-0.635167602379742
"BRC1_2","chr3_2",-0.163943595879654
"BRC1_2","chr3_35",-0.490175045570778
"CK","chr4_16",1.46420448761603
"CK","chr5_26",-1.13358766658844
"CK","chr1_31",-1.80034024403615
"CK","chr2_60",0.405107524739485
"CK","chr5_16",-0.586681287479337
"CK","chr1_20",-0.36913832432227
"CK","chr2_28",0.702202681600156
"CK","chr2_47",-0.74427619984869
"CK","chr2_34",-2.20530696340687
"CK","chr4_47",0.668411813507778
"Aux","chr4_60",-0.444396725850985
"Aux","chr2_37",-0.927037381715468
"Aux","chr1_4",0.573161412517531
"Aux","chr2_45",1.57759212249788
"Aux","chr3_33",-0.155964330730036
"Aux","chr4_10",0.0711820397141962
"Aux","chr2_6",1.69949289852263
"Aux","chr1_27",1.14222003532911
"Aux","chr5_9",0.897139090121452
"Aux","chr2_39",0.98535675246694
"ABA","chr1_12",-1.91934656094506
"ABA","chr2_27",-0.798727061306941
"ABA","chr3_25",-0.224703245684926
"ABA","chr3_57",-3.4377928828354
"ABA","chr5_48",-0.612123936269736
"ABA","chr2_18",-0.0768376400231801
"ABA","chr3_12",2.0228244228356
"ABA","chr4_31",0.991820314102584
"ABA","chr1_47",0.870993047327019
"ABA","chr5_45",0.617604534225364
"PIN1_3_4_7","chr2_21",0.463059913346634
"PIN1_3_4_7","chr2_58",-0.277817057494766
"PIN1_3_4_7","chr1_10",0.940289736933516
"PIN1_3_4_7","chr1_59",-2.06276370424716
"PIN1_3_4_7","chr3_13",-0.225198666097034
"PIN1_3_4_7","chr5_44",0.293433245759812
"PIN1_3_4_7","chr3_59",-0.258071240354565
"PIN1_3_4_7","chr4_29",-1.05979386243157
"PIN1_3_4_7","chr3_44",-1.71248044165377
"PIN1_3_4_7","chr5_31",-0.836585123657129
"Aux_Bud","chr4_20",0.54530392836301
"Aux_Bud","chr2_4",1.36390377143681
